dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,-0.000656,1.162500,0.000150,0.029940,2.994012,299.401198,0.000564
0.010000,-0.000639,1.162500,0.000166,0.001665,-2.827462,-582.147412,0.000550
0.010000,-0.000612,1.162500,0.000194,0.002775,0.110956,293.841766,0.000526
0.010000,-0.000573,1.162500,0.000233,0.003883,0.110839,-0.011655,0.000493
0.010000,-0.000523,1.162500,0.000283,0.004990,0.110676,-0.016314,0.000450
0.010000,-0.000462,1.162500,0.000344,0.006095,0.110466,-0.020971,0.000397
0.010000,-0.000390,1.162500,0.000416,0.007197,0.110210,-0.025624,0.000335
0.010000,-0.000307,1.162500,0.000499,0.008296,0.109907,-0.030274,0.000264
0.010000,-0.000213,1.162500,0.000593,0.009392,0.109558,-0.034918,0.000183
0.010000,-0.000108,1.162500,0.000697,0.010483,0.109162,-0.039557,0.000093
0.010000,0.000211,1.162500,0.001017,0.031921,2.143778,203.461592,6.283179
0.010000,0.003780,1.162500,0.004586,0.356915,32.499394,3035.561611,6.283070
0.010000,0.007660,1.162499,0.008465,0.387954,3.103900,-2939.549476,6.282952
0.010000,0.011850,1.162498,0.012655,0.418994,3.103969,0.006955,6.282825
0.010000,0.016350,1.162496,0.017156,0.450034,3.104043,0.007380,6.282688
0.010000,0.021160,1.162493,0.021966,0.480985,3.095140,-0.890320,6.282543
0.010000,0.026279,1.162490,0.027085,0.511940,3.095434,0.029462,6.282388
0.010000,0.031709,1.162485,0.032515,0.542972,3.103211,0.777625,6.282225
0.010000,0.037449,1.162479,0.038255,0.573994,3.102233,-0.097790,6.282052
0.010000,0.043497,1.162471,0.044303,0.604831,3.083636,-1.859674,6.281871
0.010000,0.049856,1.162462,0.050661,0.635855,3.102412,1.877591,6.281681
0.010000,0.056524,1.162452,0.057330,0.666852,3.099723,-0.268857,6.281483
0.010000,0.063501,1.162439,0.064307,0.697667,3.081545,-1.817863,6.281275
0.010000,0.070788,1.162424,0.071593,0.728684,3.101635,2.009047,6.281060
0.010000,0.078383,1.162407,0.079189,0.759562,3.087818,-1.381729,6.280836
0.010000,0.086288,1.162388,0.087094,0.790451,3.088929,0.111114,6.280604
0.010000,0.094502,1.162366,0.095308,0.821404,3.095316,0.638723,6.280363
0.010000,0.103024,1.162341,0.103829,0.852183,3.077822,-1.749410,6.280115
0.010000,0.111855,1.162312,0.112661,0.883168,3.098568,2.074567,6.279858
0.010000,0.120994,1.162281,0.121800,0.913878,3.070995,-2.757306,6.279594
0.010000,0.130442,1.162245,0.131248,0.944855,3.097665,2.666974,6.279322
0.010000,0.140198,1.162206,0.141004,0.975538,3.068344,-2.932008,6.279043
0.010000,0.150262,1.162163,0.151069,1.006465,3.092698,2.435351,6.278756
0.010000,0.160634,1.162116,0.161440,1.037163,3.069768,-2.292989,6.278462
0.010000,0.171314,1.162064,0.172120,1.068001,3.083760,1.399142,6.278160
0.010000,0.182301,1.162007,0.183108,1.098752,3.075162,-0.859754,6.277851
0.010000,0.193596,1.161945,0.194402,1.129462,3.070940,-0.422173,6.277536
0.010000,0.205198,1.161877,0.206005,1.160277,3.081513,1.057232,6.277214
0.010000,0.217107,1.161804,0.217914,1.190878,3.060149,-2.136322,6.276885
0.010000,0.229323,1.161725,0.230130,1.221618,3.073951,1.380206,6.276549
0.010000,0.241846,1.161640,0.242654,1.252357,3.073909,-0.004210,6.276208
0.010000,0.254675,1.161548,0.255483,1.282899,3.054237,-1.967197,6.275860
0.010000,0.267810,1.161450,0.268618,1.313580,3.068084,1.384691,6.275506
0.010000,0.281252,1.161344,0.282061,1.344245,3.066489,-0.159559,6.275146
0.010000,0.295000,1.161231,0.295809,1.374815,3.056961,-0.952791,6.274781
0.010000,0.309053,1.161110,0.309862,1.405352,3.053750,-0.321119,6.274410
0.010000,0.323412,1.160982,0.324222,1.435944,3.059222,0.547287,6.274034
0.010000,0.338076,1.160845,0.338887,1.466509,3.056449,-0.277364,6.273653
0.010000,0.353046,1.160699,0.353857,1.497046,3.053703,-0.274595,6.273266
0.010000,0.368320,1.160545,0.369132,1.527462,3.041592,-1.211077,6.272875
0.010000,0.383898,1.160381,0.384712,1.557951,3.048905,0.731264,6.272480
0.010000,0.399781,1.160208,0.400596,1.588417,3.046667,-0.223757,6.272080
0.010000,0.415969,1.160025,0.416784,1.618857,3.043995,-0.267177,6.271675
0.010000,0.432461,1.159831,0.433277,1.649271,3.041345,-0.265055,6.271267
0.010000,0.449256,1.159628,0.450074,1.679658,3.038714,-0.263073,6.270855
0.010000,0.466355,1.159413,0.467174,1.710019,3.036102,-0.261235,6.270439
0.010000,0.483757,1.159188,0.484577,1.740354,3.033506,-0.259544,6.270020
0.010000,0.501462,1.158951,0.502284,1.770662,3.030839,-0.266691,6.269598
0.010000,0.519469,1.158702,0.520293,1.800931,3.026878,-0.396170,6.269172
0.010000,0.537780,1.158442,0.538605,1.831198,3.026668,-0.020980,6.268744
0.010000,0.556392,1.158169,0.557220,1.861439,3.024100,-0.256776,6.268314
0.010000,0.575306,1.157884,0.576136,1.891654,3.021541,-0.255888,6.267881
0.010000,0.594522,1.157585,0.595355,1.921840,3.018549,-0.299252,6.267446
0.010000,0.614040,1.157274,0.614874,1.951984,3.014389,-0.416007,6.267009
0.010000,0.633858,1.156949,0.634696,1.982115,3.013161,-0.122758,6.266570
0.010000,0.653978,1.156610,0.654818,2.012222,3.010645,-0.251640,6.266130
0.010000,0.674398,1.156257,0.675241,2.042303,3.008128,-0.251653,6.265689
0.010000,0.695118,1.155890,0.695964,2.072359,3.005610,-0.251860,6.265247
0.010000,0.716138,1.155508,0.716988,2.102390,3.003087,-0.252265,6.264804
0.010000,0.737459,1.155112,0.738312,2.132396,3.000558,-0.252874,6.264360
0.010000,0.759079,1.154700,0.759936,2.162376,2.998021,-0.253691,6.263917
0.010000,0.780997,1.154273,0.781859,2.192308,2.993173,-0.484867,6.263473
0.010000,0.803215,1.153830,0.804081,2.222173,2.986557,-0.661596,6.263029
0.010000,0.825731,1.153371,0.826602,2.252071,2.989831,0.327427,6.262587
0.010000,0.848545,1.152896,0.849421,2.281944,2.987264,-0.256643,6.262144
0.010000,0.871658,1.152404,0.872539,2.311791,2.984679,-0.258569,6.261703
0.010000,0.895068,1.151896,0.895954,2.341529,2.973859,-1.082024,6.261264
0.010000,0.918775,1.151371,0.919667,2.371293,2.976338,0.247908,6.260825
0.010000,0.942779,1.150829,0.943678,2.401057,2.976406,0.006814,6.260389
0.010000,0.967081,1.150270,0.967985,2.430763,2.970640,-0.576547,6.259954
0.010000,0.991678,1.149693,0.992589,2.460378,2.961447,-0.919355,6.259522
0.010000,1.016571,1.149098,1.017490,2.490058,2.968029,0.658267,6.259093
0.010000,1.041760,1.148486,1.042686,2.519672,2.961368,-0.666103,6.258666
0.010000,1.067244,1.147855,1.068178,2.549198,2.952606,-0.876281,6.258243
0.010000,1.093024,1.147207,1.093966,2.578793,2.959480,0.687400,6.257823
0.010000,1.119098,1.146540,1.120049,2.608261,2.946855,-1.262491,6.257406
0.010000,1.145467,1.145855,1.146426,2.637750,2.948859,0.200392,6.256994
0.010000,1.172130,1.145151,1.173099,2.667210,2.946058,-0.280098,6.256586
0.010000,1.199086,1.144428,1.200064,2.696582,2.937158,-0.889935,6.256183
0.010000,1.226336,1.143687,1.227324,2.726008,2.942641,0.548242,6.255784
0.010000,1.253878,1.142926,1.254877,2.755288,2.927983,-1.465728,6.255391
0.010000,1.281714,1.142147,1.282724,2.784657,2.936873,0.888998,6.255003
0.010000,1.309841,1.141349,1.310863,2.813867,2.921015,-1.585809,6.254620
0.010000,1.338261,1.140531,1.339294,2.843157,2.929025,0.800980,6.254244
0.010000,1.366972,1.139695,1.368017,2.872317,2.915933,-1.309173,6.253874
0.010000,1.395975,1.138839,1.397032,2.901510,2.919365,0.343156,6.253511
0.010000,1.425268,1.137964,1.426339,2.930634,2.912415,-0.694963,6.253155
0.010000,1.454851,1.137070,1.455936,2.959716,2.908162,-0.425367,6.252806
0.010000,1.484726,1.136157,1.485824,2.988813,2.909700,0.153856,6.252465
0.010000,1.514889,1.135225,1.516002,3.017779,2.896557,-1.314293,6.252131
0.010000,1.545342,1.134274,1.546470,3.046792,2.901303,0.474617,6.251806
0.010000,1.576084,1.133305,1.577227,3.075754,2.896264,-0.503972,6.251489
0.010000,1.607115,1.132316,1.608273,3.104622,2.886761,-0.950280,6.251182
0.010000,1.638434,1.131309,1.639609,3.133515,2.889317,0.255572,6.250883
0.010000,1.670041,1.130283,1.671232,3.162364,2.884878,-0.443846,6.250594
0.010000,1.701935,1.129238,1.703144,3.191124,2.876057,-0.882080,6.250315
0.010000,1.734116,1.128176,1.735342,3.219885,2.876084,0.002648,6.250046
0.010000,1.766584,1.127095,1.767828,3.248611,2.872559,-0.352485,6.249787
0.010000,1.799339,1.125997,1.800601,3.277293,2.868186,-0.437335,6.249540
0.010000,1.832379,1.124881,1.833660,3.305906,2.861320,-0.686578,6.249304
0.010000,1.865705,1.123747,1.867005,3.334499,2.859357,-0.196305,6.249079
0.010000,1.899316,1.122597,1.900636,3.363057,2.855771,-0.358592,6.248866
0.010000,1.933211,1.121430,1.934552,3.391571,2.851394,-0.437725,6.248666
0.010000,1.967391,1.120246,1.968752,3.420041,2.847016,-0.437726,6.248478
0.010000,2.001855,1.119046,2.003237,3.448468,2.842634,-0.438200,6.248303
0.010000,2.036602,1.117831,2.038005,3.476843,2.837502,-0.513258,6.248142
0.010000,2.071632,1.116600,2.073057,3.505181,2.833800,-0.370223,6.247994
0.010000,2.106945,1.115355,2.108392,3.533478,2.829736,-0.406368,6.247861
0.010000,2.142540,1.114095,2.144009,3.561730,2.825236,-0.450003,6.247742
0.010000,2.178417,1.112821,2.179909,3.589937,2.820706,-0.452992,6.247638
0.010000,2.214575,1.111533,2.216089,3.618099,2.816141,-0.456512,6.247549
0.010000,2.251014,1.110233,2.252552,3.646214,2.811535,-0.460574,6.247476
0.010000,2.287733,1.108920,2.289294,3.674283,2.806883,-0.465190,6.247419
0.010000,2.324733,1.107595,2.326318,3.702305,2.802179,-0.470369,6.247379
0.010000,2.362012,1.106259,2.363620,3.730279,2.797418,-0.476124,6.247355
0.010000,2.399570,1.104913,2.401202,3.758205,2.792594,-0.482464,6.247349
0.010000,2.437406,1.103556,2.439063,3.786082,2.787700,-0.489401,6.247361
0.010000,2.475521,1.102191,2.477202,3.813909,2.782730,-0.496947,6.247390
0.010000,2.513913,1.100817,2.515619,3.841686,2.777679,-0.505112,6.247439
0.010000,2.552582,1.099435,2.554313,3.869414,2.772810,-0.486870,6.247506
0.010000,2.591529,1.098047,2.593284,3.897092,2.767813,-0.499693,6.247593
